r_si,r_gu,r_name,r_address
서울특별시,관악구,삼성웰스토리㈜서울대연구공원,서울특별시 관악구 관악로 1
서울특별시,관악구,삼백돈돈가츠,서울특별시 관악구 남부순환로230길 48 
서울특별시,관악구,삼미옥,서울특별시 관악구 남부순환로 1829-6 
서울특별시,관악구,삼다돈가(봉천점),서울특별시 관악구 관악로 246 
서울특별시,관악구,산야로,서울특별시 관악구 관악로 111
서울특별시,관악구,뽕잎사랑뽕잎냉면버섯샤브칼국수,서울특별시 관악구 남부순환로 1915
서울특별시,관악구,브리에하우스,서울특별시 관악구 신림로 340 
서울특별시,관악구,불삼시대,서울특별시 관악구 신림로65길 24 
서울특별시,관악구,부추삼겹살딱이야,서울특별시 관악구 신림동5길 49 
서울특별시,관악구,본도시락신림점,서울특별시 관악구 신림동길 31-1
서울특별시,관악구,병천가마솥순대국,서울특별시 관악구 호암로22길 77 
서울특별시,관악구,백상갈비,서울특별시 관악구 낙성대로 18
서울특별시,관악구,백년초갈비탕,서울특별시 관악구 신림로7길 10 
서울특별시,관악구,백년식당,서울특별시 관악구 신원로 5-1 
서울특별시,관악구,배영만당진아구,서울특별시 관악구 봉천로 560 
서울특별시,관악구,배가네동태탕·찜전문점(서울대입구역점),서울특별시 관악구 관악로15길 6 
서울특별시,관악구,바르미샤브샤브n칼국수롯데관악점,서울특별시 관악구 봉천로 209 
서울특별시,관악구,바로수제햄부대찌개,서울특별시 관악구 봉천로 378 
서울특별시,관악구,미가할매집,서울특별시 관악구 신림로 374
서울특별시,관악구,미가면옥,서울특별시 관악구 관악로 246 
서울특별시,관악구,무안낙지세상,서울특별시 관악구 조원로 107
서울특별시,관악구,몽고샤브샤브,서울특별시 관악구 봉천로 572
서울특별시,관악구,목포산낙지철판해물,서울특별시 관악구 조원로 125-1 
서울특별시,관악구,모힝,서울특별시 관악구 남부순환로226길 36 
서울특별시,관악구,명품횡성한우가,서울특별시 관악구 봉천로 266 
서울특별시,관악구,명태어장,서울특별시 관악구 남부순환로 1852
서울특별시,관악구,명태랑족발이랑,서울특별시 관악구 신원로 6 
서울특별시,관악구,메밀꽃밭언덕너머,서울특별시 관악구 관악로 138 
서울특별시,관악구,맛있는도적,서울특별시 관악구 관악로 110-1 
서울특별시,관악구,만성찬팅,서울특별시 관악구 신림로 322-4 
서울특별시,관악구,만나칼국수,서울특별시 관악구 봉천로7길 23
서울특별시,관악구,막불감동,서울특별시 관악구 남부순환로 1599
서울특별시,관악구,막걸리바막이오름샤로수길본점,서울특별시 관악구 관악로14길 70 
